,true class,pred_class,AGN,STAR,ULX,YSO
458,AGN,AGN,0.718,0.156,0.096,0.03
459,STAR,STAR,0.0,0.976,0.024,0.0
460,STAR,STAR,0.0,1.0,0.0,0.0
461,YSO,YSO,0.0,0.004,0.0,0.996
462,AGN,AGN,0.986,0.006,0.008,0.0
463,AGN,STAR,0.298,0.526,0.156,0.02
464,AGN,AGN,0.6618333333333334,0.226,0.10616666666666667,0.006
465,AGN,AGN,0.782,0.166,0.016,0.036
466,STAR,STAR,0.066,0.818,0.08,0.036
467,ULX,STAR,0.368,0.402,0.218,0.012
468,STAR,STAR,0.018,0.888,0.094,0.0
469,STAR,STAR,0.268,0.73,0.002,0.0
470,AGN,AGN,0.9706666666666668,0.01,0.019333333333333334,0.0
471,AGN,AGN,0.93,0.052,0.018,0.0
472,STAR,STAR,0.0,0.916,0.084,0.0
473,AGN,AGN,0.9206666666666666,0.06133333333333334,0.018,0.0
474,STAR,STAR,0.3053333333333333,0.392,0.2986666666666667,0.004
475,AGN,AGN,0.893,0.078,0.029,0.0
476,AGN,AGN,0.926,0.018,0.056,0.0
477,AGN,AGN,0.962,0.0,0.038,0.0
478,STAR,STAR,0.006,0.78,0.214,0.0
479,STAR,STAR,0.02,0.96,0.018,0.002
480,AGN,AGN,0.9601666666666666,0.0,0.03983333333333334,0.0
481,STAR,STAR,0.0,0.97,0.03,0.0
482,STAR,STAR,0.0,0.984,0.016,0.0
483,AGN,AGN,0.81,0.18,0.01,0.0
484,AGN,AGN,0.892,0.058,0.004,0.046
485,AGN,AGN,0.974,0.002,0.024,0.0
486,STAR,STAR,0.006,0.896,0.098,0.0
487,STAR,STAR,0.042,0.884,0.062,0.012
488,AGN,STAR,0.23,0.452,0.314,0.004
489,STAR,STAR,0.0,0.99,0.01,0.0
490,AGN,AGN,0.714,0.11,0.104,0.072
491,STAR,STAR,0.014,0.962,0.022,0.002
492,STAR,STAR,0.054,0.738,0.186,0.022
493,AGN,AGN,0.728,0.074,0.042,0.156
494,YSO,YSO,0.158,0.112,0.012,0.718
495,STAR,STAR,0.002,0.994,0.004,0.0
496,STAR,STAR,0.29,0.556,0.038,0.116
497,AGN,AGN,1.0,0.0,0.0,0.0
498,STAR,STAR,0.002,0.984,0.014,0.0
499,STAR,STAR,0.016,0.96,0.02,0.004
500,AGN,AGN,0.684,0.17,0.14,0.006
501,STAR,STAR,0.0,0.988,0.0,0.012
502,STAR,STAR,0.0,0.996,0.002,0.002
503,STAR,STAR,0.002,0.852,0.146,0.0
504,STAR,STAR,0.066,0.824,0.094,0.016
505,STAR,STAR,0.004,0.952,0.018,0.026
506,STAR,STAR,0.006,0.982,0.01,0.002
507,STAR,STAR,0.02,0.854,0.102,0.024
508,STAR,STAR,0.25993333333333335,0.566,0.16806666666666667,0.006
509,STAR,STAR,0.0,0.978,0.0,0.022
510,STAR,STAR,0.0,0.984,0.016,0.0
511,AGN,AGN,1.0,0.0,0.0,0.0
512,AGN,AGN,0.954,0.046,0.0,0.0
513,STAR,STAR,0.002,0.964,0.034,0.0
514,AGN,AGN,0.996,0.0,0.004,0.0
