,freq
1154,5.32e+17
1155,5.56e+17
1156,5.64e+17
1157,5.68e+17
1158,6.05e+17
1159,6.35e+17
1160,6.41e+17
1161,6.65e+17
1162,7.25e+17
1163,7.62e+17
1164,7.86e+17
1165,7.98e+17
1166,8.46e+17
1167,8.83e+17
1168,9.07e+17
1169,9.19e+17
1170,9.31e+17
1171,9.67e+17
1172,9.91e+17
1173,1e+18
1174,1.01e+18
1175,1.02e+18
1176,1.03e+18
1177,1.09e+18
1178,1.15e+18
1179,1.21e+18
1180,1.22e+18
1181,1.23e+18
1182,1.24e+18
1183,1.25e+18
1184,1.26e+18
1185,1.27e+18
1186,1.33e+18
1187,1.45e+18
1188,1.47e+18
1189,1.49e+18
1190,1.51e+18
1191,1.55e+18
1192,1.57e+18
1193,1.69e+18
1194,1.75e+18
1195,1.81e+18
1196,1.99e+18
1197,2.24e+18
1198,2.37e+18
1199,2.78e+18
1200,2.9e+18
1201,3.26e+18
1202,3.63e+18
1203,3.87e+18
1204,4.5e+18
1205,4.84e+18
1206,7.25e+18
1207,7.86e+18
1208,8.46e+18
1209,9.31e+18
1210,9.67e+18
1211,1.17e+19
1212,1.45e+19
1213,1.69e+19
1214,1.83e+19
1215,1.93e+19
1216,1.98e+19
1217,1.99e+19
1218,2.22e+19
1219,2.42e+19
1220,2.44e+19
1221,2.47e+19
1222,2.53e+19
1223,2.6e+19
1224,3.02e+19
1225,3.63e+19
1226,2.4e+23
1227,6.17e+23
1228,1.22e+24
1229,1.21e+25
1230,2.01e+25
1231,2.73e+25
1232,3.1e+25
1233,4.5e+25
1234,5.68e+25
1235,9.67e+25
1236,1.15e+26
1237,1.22e+26
1238,2.48e+26
