,band,freq,unit
389,[Fe II] 1.679 (WHT),179000000000000.0,erg/cm^2^/s
390,H_2 1-0S(7) 1.747,172000000000000.0,erg/cm^2^/s
391,Br{delta} 1.944 WHT,154000000000000.0,erg/cm^2^/s
392,H_2 1-0S(2) 2.032,148000000000000.0,erg/cm^2^/s
393,[Ca VIII] 2.322 WHT,129000000000000.0,erg/cm^2^/s
394,3.45 microns,86900000000000.0,Jy
395,3.5 microns,85700000000000.0,mag
396,3.6 microns,83300000000000.0,Jy
397,60 microns (ISO),4930000000000.0,Jy
398,65 microns (ISO),4450000000000.0,Jy
399,80 microns (ISO),3740000000000.0,Jy
400,90 microns (ISO),3150000000000.0,Jy
401,100 microns (ISO),2900000000000.0,Jy
402,11 cm (NRAO),2700000000000.0,milliJy
403,3.2 mm,93000000000.0,Jy
404,43 GHz (VLBA),43000000000.0,Jy
405,9.5 mm (NRAO),31600000000.0,flux units
406,24 GHz (VLBA),24000000000.0,Jy
407,15 GHz (OVRO),15000000000.0,Jy
408,10.63 GHz (ARO),10600000000.0,milliJy
409,8.1 GHz,8100000000.0,milliJy
410,3.7 cm (NRAO),8080000000.0,milliJy
411,111 MHZ (LPA),111000000.0,Jy
412,F547M (HST),547000000000000.0,mag
413,[Ne V] 14 microns,21400000000000.0,W/cm^2^
414,[Ne V] 24 microns,12500000000000.0,W/cm^2^
415,347 GHz (SCUBA),347000000000.0,milliJy
416,96 GHz (NMA),95700000000.0,milliJy
417,H_2 S(7) line (IRS),54400000000000.0,W cm^-2^
418,I (HST),368000000000000.0,mag
419,I (Kitt Peak),365000000000000.0,mag
420,2-4.5 keV (XMM),7.86e+17,erg/cm^2^/s
421,4 keV (Einstein),9.67e+17,microJy
422,0.3-3.5 keV Einstein,4.59e+17,erg cm^-2^ s^-1^
423,1 keV (Einstein),2.42e+17,microJy
424,0.2 keV (Einstein),4.84e+16,microJy
425,V (HST/WFPC2),545000000000000.0,mag
426,R Johnson (FLWO),433000000000000.0,mag
427,I Johnson (FLWO),341000000000000.0,mag
428,N,29700000000000.0,mag
429,11.85 microns (VLT),25300000000000.0,milliJy
430,23 GHz (WMAP),23000000000.0,milliJy
431,8000 MHz,8000000000.0,Jy
432,0.2-4 keV (EINSTEIN),5.25e+17,ergs sec^-1^ cm^-2^
433,FUV (GALEX) AB,1920000000000000.0,mag
434,F555W (HST),546000000000000.0,mag
435,11.5 microns (GTC),26100000000000.0,milliJy
436,1 mm (IRAM 30m),300000000000.0,milliJy
437,229 GHz (IRAM),229000000000.0,Jy
438,3 mm (IRAM 30m),99900000000.0,milliJy
439,86 GHz (IRAM),86200000000.0,Jy
440,33 GHz (VSA),33000000000.0,Jy
441,16.1 GHz (AMI),16100000000.0,Jy
442,8 GHz (GBI),8300000000.0,Jy
443,4750 MHz (Effelsbg),4750000000.0,milliJy
444,2 GHz (GBI),2250000000.0,Jy
445,609 MHz (WSRT),609000000.0,milliJy
446,326 MHz (WSRT),326000000.0,milliJy
447,606 MHz,606000000.0,Jy
448,6909 A (Keck I),434000000000000.0,erg/cm^2^/A/s
449,6888 A (Keck I),435000000000000.0,erg/cm^2^/A/s
450,2 GHz (ATCA),2000000000.0,milliJy
451,7.9 microns Spitzer,37900000000000.0,milliJy
452,18.3 microns GeminiS,16400000000000.0,milliJy
453,[O III] 51.81 (PACS),5790000000000.0,W/m^2^
454,[N III] 57.32 (PACS),5230000000000.0,W/m^2^
455,[N II] 121.90 (PACS),2460000000000.0,W/m^2^
456,1.25 mm (SEST),240000000000.0,milliJy
457,g (SDSS) AB,628000000000000.0,mag
458,250 GHz (MAMBO),250000000000.0,milliJy
459,0.2-10 keV (XMM),1.23e+18,erg/cm^2^/s
460,0.15-3.5 keV (IPC),4.42e+17,erg cm^-2^ s^-1^
461,3 mm (VLBI),100000000000.0,Jy
462,86 GHz (VLBI),86000000000.0,Jy
463,37 GHz (MRO),37000000000.0,Jy
464,15 GHz (VLBA),15400000000.0,Jy
465,15064 MHz,15100000000.0,Jy
466,11.2 GHz (RATAN),11200000000.0,Jy
467,7.7 GHz (RATAN),7700000000.0,Jy
468,6.7 GHz (WARK30M),6700000000.0,Jy
469,4885 MHz,4880000000.0,Jy
470,4585 MHz,4580000000.0,Jy
471,2.3 GHz (RATAN),2300000000.0,Jy
472,1379 MHz,1380000000.0,Jy
473,968 MHz,968000000.0,Jy
474,430 MHz,430000000.0,Jy
475,151 MHz (VLBI),151000000.0,Jy
476,L (UKIRT),87000000000000.0,mag
477,7 microns (IRS),42800000000000.0,milliJy
478,N11.7 (Subaru),25500000000000.0,milliJy
479,108.746 GHz (CARMA),109000000000.0,milliJy
480,14.7 MHz,14700000.0,Jy
481,12.6 MHz,12600000.0,Jy
482,F330W (HST/ACS),908000000000000.0,ergs/cm^2^/s/A
483,170 microns (ISO),1760000000000.0,Jy
484,0.35-1.55 keV (XMM),2.29e+17,erg/cm^2^/s
485,O VII 22.1 A (XMM),1.36e+17,erg/cm^2^/s
486,I (Cousins) (I_23.5),380000000000000.0,mag
487,N (GeminiS),28900000000000.0,milliJy
488,19 microns (IRS),15800000000000.0,Jy
489,19.5 microns (IRS),15400000000000.0,Jy
490,[Ne V] 3346,896000000000000.0,erg/cm^2^/s
491,2.2 GHz (VLBA),2200000000.0,Jy
492,2 mm (PdBI),150000000000.0,Jy
493,143 GHz (Planck),143000000000.0,Jy
494,70 GHz (Planck),70000000000.0,Jy
495,44 GHz (Planck),44000000000.0,Jy
496,J (CIT),236000000000000.0,mag
497,K (CIT),134000000000000.0,mag
498,10.45 GHz Effelsberg,10500000000.0,milliJy
499,8.35 GHz Effelsberg,8350000000.0,milliJy
500,2.64 GHz Effelsberg,2640000000.0,milliJy
501,0.2-0.5 keV (XMM),8.46e+16,erg/cm^2^/s
502,u* (CFHT),801000000000000.0,mag
503,z' (CFHT),256000000000000.0,mag
504,0.35-2.0 keV (XMM),2.84e+17,erg/cm^2^/s
505,0.2-2.0 keV (XMM),2.66e+17,erg/cm^2^/s
506,U (KPNO),837000000000000.0,mag
507,R (KPNO),466000000000000.0,mag
508,2460 A (OAO),1220000000000000.0,mag
509,UV_3150 (m_T),952000000000000.0,mag
510,3320 A (OAO),903000000000000.0,mag
511,4250 A (OAO),705000000000000.0,mag
512,J (KPNO),244000000000000.0,mag
513,H (KPNO),181000000000000.0,mag
514,160 microns Herschel,1870000000000.0,Jy
515,3.6 cm (Effelsberg),8330000000.0,milliJy
516,1425 MHz (VLA),1430000000.0,milliJy
517,H (APO),183000000000000.0,mag
518,0.2-10 keV (Chandra),2.37e+18,ergs cm^-2^ s^-1^
519,1350 A (HST/FOS),2220000000000000.0,erg/cm^2^/s/A
520,0.1-10 GeV (Fermi),1.22e+24,erg/cm^2^/s
521,log nu(Hz) 14.95,891000000000000.0,log f_nu (milliJy)
